rank,sentence,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
1,不,1,90.0,9.1,0.0,5.5,0.0,,72.27
2,从,1,90.0,9.1,0.0,5.5,0.0,,72.25
3,或,55,89.9,9.1,0.0,5.5,0.0,,72.25
4,新！,13,89.9,9.1,0.0,5.5,0.0,,72.24
5,号,174,89.9,9.1,0.0,5.5,0.0,,72.21
6,打！,9,89.8,9.1,0.0,5.5,0.0,,72.15
7,死!,4,89.8,9.1,0.0,5.5,0.0,,72.15
8,正！,22,89.7,9.1,0.0,5.5,0.0,,72.13
9,干！,3,89.7,9.1,0.0,5.5,0.0,,72.13
10,老？,3,89.6,9.1,0.0,5.5,0.0,,72.10
11,马？,21,89.6,9.1,0.0,5.5,0.0,,72.09
12,杀！,12,89.6,9.1,0.0,5.5,0.0,,72.07
13,二,2,89.6,9.1,0.0,5.5,0.0,,72.07
14,别,2,89.6,9.1,0.0,5.5,0.0,,72.06
15,变,39,89.5,9.1,0.0,5.5,0.0,,72.03
16,水,261,89.5,9.1,0.0,5.5,0.0,,72.02
17,跑！,17,89.4,9.1,0.0,5.5,0.0,,71.97
18,拉！,50,89.4,9.1,0.0,5.5,0.0,,71.96
19,放！,6,89.4,9.1,0.0,5.5,0.0,,71.96
20,西,31,89.3,9.1,0.0,5.5,0.0,,71.95
21,四,40,89.3,9.1,0.0,5.5,0.0,,71.94
22,转,19,89.3,9.1,0.0,5.5,0.0,,71.93
23,东,150,89.3,9.1,0.0,5.5,0.0,,71.93
24,狗,15,89.3,9.1,0.0,5.5,0.0,,71.92
25,五,7,89.2,9.1,0.0,5.5,0.0,,71.89
26,错,5,89.2,9.1,0.0,5.5,0.0,,71.88
27,你 你,131,90.0,11.9,0.0,7.2,0.0,,71.42
28,对 对,539,90.0,11.9,0.0,7.2,0.0,,71.42
29,去 去,142,89.9,11.9,0.0,7.2,0.0,,71.40
30,啊啊！,911,89.9,11.9,0.0,7.2,0.0,,71.37
31,请 请,615,89.9,11.9,0.0,7.2,0.0,,71.35
32,哦 哦,560,89.4,11.9,0.0,7.2,0.0,,71.12
